create_timestamp,player_id,score
2023-01-01 10:00:00,player001,1000
2023-01-01 10:10:00,player001,1500
2023-01-01 10:20:00,player001,800
2023-01-01 10:30:00,player002,2000
2023-01-01 10:40:00,player002,1800
2023-01-01 10:50:00,player003,2500
2023-01-01 11:00:00,player003,2200
2023-01-01 11:10:00,player004,1700
2023-01-01 11:20:00,player004,1900
2023-01-01 11:30:00,player005,3000
2023-01-01 11:40:00,player006,3000
2023-01-01 11:50:00,player007,2800
2023-01-01 12:00:00,player008,2700
2023-01-01 12:10:00,player009,2600
2023-01-01 12:20:00,player010,2500
2023-01-01 12:30:00,player011,2400
2023-01-01 12:40:00,player012,2300
2023-01-01 12:50:00,player013,2200
2023-01-01 13:00:00,player014,2100
2023-01-01 13:10:00,player015,2000
2023-01-01 13:20:00,player016,1900
2023-01-01 13:30:00,player017,1800
2023-01-01 13:40:00,player018,1700
2023-01-01 13:50:00,player019,1600
2023-01-01 14:00:00,player020,1500
2023-01-01 14:10:00,player021,1400
2023-01-01 14:20:00,player022,1300
2023-01-01 14:30:00,player023,1200
2023-01-01 14:40:00,player024,1100
2023-01-01 14:50:00,player025,1000
2023-01-01 15:00:00,player026,900
2023-01-01 15:10:00,player027,800
2023-01-01 15:20:00,player028,700
2023-01-01 15:30:00,player029,600
2023-01-01 15:40:00,player030,500
2023-01-01 15:50:00,player031,4000
2023-01-01 16:00:00,player032,3800
2023-01-01 16:10:00,player033,3600
2023-01-01 16:20:00,player034,3400
2023-01-01 16:30:00,player035,3200
2023-01-01 16:40:00,player036,3000
2023-01-01 16:50:00,player037,2800
2023-01-01 17:00:00,player038,2600
2023-01-01 17:10:00,player039,2400
2023-01-01 17:20:00,player040,2200
2023-01-01 17:30:00,player001,1200
2023-01-01 17:40:00,player002,2100
2023-01-01 17:50:00,player003,2400
2023-01-01 18:00:00,player004,2000
2023-01-01 18:10:00,player005,2900
2023-01-01 18:20:00,player006,3100
2023-01-01 18:30:00,player007,2700
2023-01-01 18:40:00,player008,2800
2023-01-01 18:50:00,player009,2500
2023-01-01 19:00:00,player010,2600
2023-01-01 19:10:00,player011,2300
2023-01-01 19:20:00,player012,2400
2023-01-01 19:30:00,player013,2100
2023-01-01 19:40:00,player014,2200
2023-01-01 19:50:00,player015,1900
2023-01-01 20:00:00,player016,2000
2023-01-01 20:10:00,player017,1700
2023-01-01 20:20:00,player018,1800
2023-01-01 20:30:00,player019,1500
2023-01-01 20:40:00,player020,1600 
